Administration_route,Application_date,Application_year,Current_status,Decision,Decision_date,Decision_year,Disease_class(es),Document_name,Drug_class,Drug_name,Indication_approved,Indication_extended,Indication_requested,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body
intravenous,22.09.2014,2014,authorised,approved,24.04.2015,2015,Neoplasms; Diseases of the respiratory system,000216837.pdf,Other,Laserphyrin,Early-stage lung cancer; Primary malignant brain tumor; Local residual/recurrent oesophageal carcinoma after chemoradiotherapy or radiotherapy,yes,Local residual/recurrent oesophageal carcinoma after chemoradiotherapy or radiotherapy,"Meiji Seika Pharma Co., Ltd.",Meiji,Not reported,Talaporfin Sodium,yes,yes,Lyophilized powder,Not reported,Not reported
oral,14.07.2014,2014,authorised,approved,28.04.2015,2015,Diseases of the digestive system,000216189.pdf,Small molecule,Irribow,Diarrhea-predominant irritable bowel syndrome,yes,Male patients with Diarrhea-predominant irritable bowel syndrome,Astellas Pharma Inc.,Astellas,Not reported,Ramosetron Hydrochloride,yes,no,tablet,Not reported,Not reported
subcutaneous,26.04.2023,2023,authorised,approved,22.02.2024,2024,Diseases of the respiratory system,000271106.pdf,Biologics,Fasenra,Bronchial asthma (only for patients with intractable bronchial asthma uncontrolled on conventional therapy),yes,Bronchial asthma (only for patients with intractable bronchial asthma uncontrolled on conventional therapy),AstraZeneca K.K.,AstraZeneca,Not reported,Benralizumab,yes,no,injection,Not reported,Not reported
intravenous,19.04.2021,2021,authorised,approved,26.11.2021,2021,Diseases of the nervous system,000252640.pdf,Biologics,Vyvgart,Generalized myasthenia gravis,no,Generalized myasthenia gravis,Argenx Japan K.K.,Argenx,Not reported,Efgartigimod Alfa,no,yes,solution,Not reported,NA
oral,16.01.2020,2020,authorised,approved,29.10.2020,2020,"Endocrine, nutritional, and metabolic diseases; Diseases of the circulatory system",000246621.pdf,Small molecule,Forxiga,Chronic heart failure,yes,Chronic heart failure,AstraZeneca K.K.,AstraZeneca,Not reported,Dapagliflozin,no,no,tablet,Not reported,NA
oral,28.05.2018,2018,authorised,approved,29.11.2018,2018,Neoplasms; Diseases of the respiratory system,000235181.pdf,Small molecule,Vizimpro,"EGFR mutation-positive, unresectable or recurrent non-small cell lung cancer",no,"EGFR mutation-positive, unresectable or recurrent non-small cell lung cancer",Pfizer Japan Inc.,Pfizer,Not reported,Dacomitinib,no,no,tablet,Not reported,NA
oral,24.04.2019,2019,authorised,approved,29.11.2019,2019,"Endocrine, nutritional, and metabolic diseases",000241166.pdf,Small molecule,Orkedia,Hypercalcaemia in patients with parathyroid carcinoma and hypercalcaemia in patients with primary hyperparathyroidism who are unable to undergo parathyroidectomy or patients with recurrent primary hyperparathyroidism after parathyroidectomy,yes,Hypercalcaemia in patients with parathyroid carcinoma and hypercalcaemia in patients with primary hyperparathyroidism who are unable to undergo parathyroidectomy or patients with recurrent primary hyperparathyroidism after parathyroidectomy,"Kyowa Kirin Co., Ltd.",Kyowa Kirin,Not reported,Evocalcet,yes,yes,tablet,Not reported,Not reported
intravenous,07.03.2017,2017,authorised,approved,08.09.2017,2017,Neoplasms; Diseases of the skin,000233296.pdf,Biologics,Bavencio,Unresectable Merkel cell carcinoma,no,Unresectable Merkel cell carcinoma,"Merck Serono Co., Ltd.",Merck,Not reported,Avelumab,no,yes,injection,Not reported,NA
oral,06.12.2012,2012,authorised,approved,13.03.2013,2013,Infectious and parasitic diseases,000205730.pdf,Small molecule,Stribild,HIV-1 infection,no,HIV-1 infection,Japan Tobacco Inc.,Japan Tobacco,Not reported,Elvitegravir/Cobicistat/Emtricitabine/Tenofovir Disoproxil Fumarate,no,yes,tablet,Not reported,NA
intravenous,29.06.2021,2021,authorised,approved,19.07.2021,2021,Infectious and parasitic diseases,000244787.pdf,Biologics,Ronapreve,Treatment of disease caused by SARS-CoV-2 infection (COVID-19),no,Treatment of disease caused by SARS-CoV-2 infection (COVID-19),"Chugai Pharmaceutical Co., Ltd.",Chugai,Not reported,Casirivimab and Imdevimab,no,no,solution,Not reported,NA
oral,28.11.2006,2006,authorised,approved,27.10.2008,2008,Diseases of the skin; Diseases of the genitourinary system,000153525.pdf,Small molecule,Remitch,Improvement of pruritus in hemodialysis patients (for use only when conventional treatments are not sufficiently effective),no,Improvement of intractable pruritus in hemodialysis patients,"Toray Industries, Inc.",Toray,Not reported,Nalfurafine Hydrochloride,no,no,capsule,Not reported,NA
intramuscular,05.02.2021,2021,authorised,approved,20.05.2021,2021,Infectious and parasitic diseases,000250094.pdf,Vaccine,Vaxzevria,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),no,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),AstraZeneca K.K.,AstraZeneca,Not reported,COVID-19 (SARS-CoV-2) Vaccine,no,no,injection,Not reported,NA
oral,28.10.2022,2022,authorised,approved,21.08.2023,2023,"Diseases of the genitourinary system; Endocrine, nutritional, and metabolic diseases",000271700.pdf,Small molecule,Phozevel,Improvement of hyperphosphatemia in patients with chronic kidney disease on dialysis,no,Improvement of hyperphosphatemia in patients with chronic kidney disease on dialysis,"Kyowa Kirin Co., Ltd.",Kyowa Kirin,Not reported,Tenapanor Hydrochloride,no,no,tablet,Not reported,NA
intravenous,06.10.2016,2016,authorised,approved,24.11.2016,2016,Neoplasms; Diseases of the respiratory system,000226880.pdf,Biologics,Keytruda,"Unresectable, advanced or recurrent PD-L1 positive non-small cell lung cancer",yes,"Unresectable, advanced or recurrent non-small cell lung cancer",MSD K.K.,MSD,Not reported,Pembrolizumab,yes,no,Injection,Not reported,Not reported
subcutaneous,25.08.2016,2016,authorised,approved,10.04.2017,2017,Diseases of the musculoskeletal system and connective tissue,000224729.pdf,Biologics,Actemra,Treatment of rheumatoid arthritis with an inadequate response to existing therapies (including the inhibition of progression of structural joint damage),yes,Treatment of rheumatoid arthritis with an inadequate response to existing therapies (including the inhibition of progression of structural joint damage),"Chugai Pharmaceutical Co., Ltd.",Chugai,Not reported,Tocilizumab,yes,no,injection,Not reported,Not reported
oral,17.11.2017,2017,authorised,approved,11.05.2018,2018,Neoplasms; Diseases of the respiratory system,000237219.pdf,Small molecule,Mekinist,Unresectable Malignant melanoma with BRAF mutations; Unresectable advanced or recurrent non-small cell lung cancer with BRAF mutations,yes,Unresectable Malignant melanoma with BRAF mutations,Novartis Pharma K.K.,Novartis,Not reported,Trametinib Dimethyl Sulfoxide,yes,yes,tablet,Not reported,Not reported
intravenous,11.07.2017,2017,authorised,approved,23.05.2018,2018,Diseases of the blood and blood-forming organs,000238159.pdf,Biologics,Refixia,Control of bleeding tendency in patients with factor IX deficiency,no,Control of bleeding tendency in patients with factor IX deficiency,Novo Nordisk Pharma Ltd.,Novo Nordisk,Not reported,Nonacog Beta Pegol,no,no,Powder,Not reported,NA
oral,22.04.2021,2021,authorised,approved,25.02.2022,2022,Diseases of the nervous system,000252828.pdf,Small molecule,Dysval,Tardive dyskinesia,no,Tardive dyskinesia,Mitsubishi Tanabe Pharma Corporation,Mitsubishi Tanabe,Not reported,Valbenazine Tosilate,no,no,capsule,Not reported,NA
intravenous,26.12.2013,2013,authorised,approved,01.08.2014,2014,Diseases of the blood and blood-forming organs; Diseases of the genitourinary system; Neoplasms,000209810.pdf,Biologics,Rituxan,CD20-positive B-cell non-Hodgkin’s lymphoma; CD20-positive B-cell lymphoproliferative disorder associated with immunosuppression; Wegener’s granulomatosis and microscopic polyangiitis; Refractory nephrotic syndrome (frequently relapsing or steroid-dependent); Premedication for indium (111In) ibritumomab tiuxetan (genetical recombination) injection and yttrium (90Y) ibritumomab tiuxetan (genetical recombination) injection,yes,Refractory nephrotic syndrome (frequently relapsing or steroid-dependent),"Zenyaku Kogyo Co., Ltd.",Zenyaku Kogyo,Not reported,Rituximab,yes,yes,Injection,Not reported,Not reported
oral,25.07.2014,2014,authorised,approved,26.02.2015,2015,Neoplasms; Diseases of the blood and blood-forming organs,000215395.pdf,Small molecule,Pomalyst,Relapsed or refractory multiple myeloma,no,Relapsed or refractory multiple myeloma,Celgene K.K.,Celgene,Not reported,Pomalidomide,no,yes,capsule,Not reported,NA
oral,25.04.2018,2018,authorised,approved,29.11.2018,2018,Neoplasms; Diseases of the skin,000240419.pdf,Small molecule,Mektovi,Unresectable malignant melanoma with BRAF gene mutation,no,Unresectable malignant melanoma with BRAF gene mutation,"Ono Pharmaceutical Co., Ltd.",Ono,Not reported,Binimetinib,no,yes,tablet,Not reported,NA
cutaneous,20.05.2014,2014,authorised,approved,17.06.2015,2015,Infectious and parasitic diseases,000215815.pdf,Small molecule,Olanedine,Preoperative skin preparation at the surgical site,no,Preoperative skin preparation at the surgical site,"Otsuka Pharmaceutical Factory, Inc.",Otsuka,Not reported,Olanexidine Gluconate,no,no,solution,Not reported,NA
oral,29.02.2008,2008,authorised,approved,29.05.2009,2009,Diseases of the circulatory system,000153807.pdf,Small molecule,Rasilez,Hypertension,no,Hypertension,Novartis Pharma K.K.,Novartis,Not reported,Aliskiren,no,no,tablet,Not reported,NA
intravenous,24.05.2018,2018,authorised,approved,26.03.2019,2019,Diseases of the musculoskeletal system and connective tissue,000235285.pdf,Biologics,Actemra,Treatment of adult Still’s disease that have not adequately responded to existing therapies,yes,adult Still’s disease that have not adequately responded to existing therapies,"Chugai Pharmaceutical Co., Ltd.",Chugai,Not reported,Tocilizumab,yes,no,solution,Not reported,Not reported
oral,25.09.2015,2015,authorised,approved,27.05.2016,2016,Neoplasms,000223356.pdf,Small molecule,Hemangiol,Infantile hemangioma,yes,Infantile hemangioma,"Maruho Co., Ltd.",Maruho,Not reported,Propranolol Hydrochloride,yes,yes,solution,Not reported,Not reported
oral,01.12.2011,2011,authorised,approved,13.03.2013,2013,Diseases of the musculoskeletal system and connective tissue,000153609.pdf,Small molecule,Xeljanz,Rheumatoid arthritis in patients who have not adequately responded to conventional treatments,no,Rheumatoid arthritis in patients who have not adequately responded to conventional treatments,Pfizer Japan Inc.,Pfizer,Not reported,Tofacitinib Citrate,no,no,tablet,Not reported,NA
oral,25.04.2018,2018,authorised,approved,29.11.2018,2018,Neoplasms; Diseases of the skin,000240418.pdf,Small molecule,Braftovi,Unresectable malignant melanoma with BRAF gene mutation,no,Unresectable malignant melanoma with BRAF gene mutation,"Ono Pharmaceutical Co., Ltd.",Ono,Not reported,Encorafenib,no,yes,capsule,Not reported,NA
oral,27.03.2013,2013,authorised,approved,30.04.2014,2014,Infectious and parasitic diseases,000209024.pdf,Small molecule,Deltyba,Multidrug-resistant pulmonary tuberculosis,no,Multidrug-resistant pulmonary tuberculosis,"Otsuka Pharmaceutical Co., Ltd.",Otsuka,Not reported,Delamanid,no,yes,tablet,Not reported,NA
intravenous,27.05.2022,2022,authorised,approved,03.03.2023,2023,Diseases of the digestive system,000265667.pdf,Biologics,Omvoh,Remission induction therapy for moderate to severe ulcerative colitis,no,Remission induction therapy for moderate to severe ulcerative colitis,Eli Lilly Japan K.K.,Eli Lilly,Not reported,Mirikizumab,no,no,aqueous injection,Not reported,NA
oral,31.07.2012,2012,authorised,approved,13.03.2013,2013,Neoplasms; Diseases of the digestive system,000153351.pdf,Small molecule,Stivarga,"Incurable, unresectable, advanced/recurrent colorectal cancer",no,"Incurable, unresectable, advanced/recurrent colorectal cancer","Bayer Yakuhin, Ltd.",Bayer,Not reported,Regorafenib,no,no,tablet,Not reported,NA
oral,28.07.2017,2017,authorised,approved,02.03.2018,2018,Infectious and parasitic diseases,000232850.pdf,Small molecule,Prevymis,Prophylaxis of cytomegalovirus disease in allogeneic hematopoietic stem cell transplant recipients,no,Prophylaxis of cytomegalovirus disease in allogeneic hematopoietic stem cell transplant recipients,MSD K.K.,MSD,Not reported,Letermovir,no,yes,tablet,Not reported,NA
oral,22.06.2017,2017,authorised,approved,09.06.2017,2017,Mental and behavioural disorders; Neoplasms,000224954.pdf,Small molecule,Zyprexa,"Schizophrenia; Improvement of manic and depressive symptoms associated with bipolar disorder; Gastrointestinal symptoms (nausea, vomiting) associated with antineoplastic agents",yes,"Gastrointestinal symptoms (nausea, vomiting) associated with antineoplastic agents",Eli Lilly Japan K.K.,Eli Lilly,Not reported,Olanzapine,yes,no,tablet,Not reported,Pharmaceutical Affairs and Food Sanitation Council
oral,24.06.2015,2015,authorised,approved,26.02.2016,2016,Neoplasms; Diseases of the respiratory system,000221838.pdf,Small molecule,Zykadia,"ALK-positive, unresectable, advanced or recurrent non-small cell lung cancer resistant or intolerant to crizotinib",no,"ALK-positive, unresectable, advanced or recurrent non-small cell lung cancer resistant or intolerant to crizotinib",Novartis Pharma K.K.,Novartis,Not reported,Ceritinib,no,yes,capsule,Not reported,NA
intravenous,19.09.2014,2014,authorised,approved,28.05.2015,2015,Neoplasms,000215223.pdf,Biologics,Yervoy,Unresectable malignant melanoma,no,Unresectable or metastatic malignant melanoma,Bristol-Myers Squibb K.K.,Bristol-Myers Squibb,Not reported,Ipilimumab,no,yes,injection,Not reported,NA
intramuscular,28.03.2014,2014,authorised,approved,05.03.2015,2015,Infectious and parasitic diseases; Diseases of the respiratory system,000216064.pdf,Vaccine,Synflorix,"Prevention of invasive infections and pneumonia caused by Streptococcus pneumoniae (pneumococcal serotypes 1, 4, 5, 6B, 7F, 9V, 14, 18C, 19F, and 23F)",no,"Prevention of invasive infections, acute otitis media, and pneumonia caused by Streptococcus pneumoniae","Japan Vaccine Co., Ltd.",Japan Vaccine,Not reported,Pneumococcal 10-valent Conjugate Vaccine,yes,no,suspension,Not reported,Not reported
oral,26.08.2011,2011,authorised,approved,27.04.2012,2012,"Endocrine, nutritional, and metabolic diseases",000153594.pdf,Small molecule,Tenelia,Type 2 diabetes mellitus,no,Type 2 diabetes mellitus,Mitsubishi Tanabe Pharma Corporation,Mitsubishi Tanabe,Not reported,Teneligliptin Hydrobromide Hydrate,no,no,tablet,Not reported,NA
intravenous,22.03.2021,2021,authorised,approved,25.02.2022,2022,Diseases of the circulatory system,000252154.pdf,Small molecule,Samtasu,Treatment of fluid retention in heart failure when treatment with other diuretics including loop diuretics is not sufficiently effective,no,Treatment of fluid retention in heart failure when treatment with other diuretics including loop diuretics is not sufficiently effective,"Otsuka Pharmaceutical Co., Ltd.",Otsuka,Not reported,Tolvaptan Sodium Phosphate,no,no,Lyophilized powder,Not reported,NA
intramuscular,05.03.2021,2021,authorised,approved,20.05.2021,2021,Infectious and parasitic diseases,000243267.pdf,Vaccine,COVID-19 Vaccine Moderna,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),no,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),Takeda Pharmaceutical Company Limited,Takeda,Not reported,Coronavirus Modified Uridine RNA Vaccine,no,no,suspension,Not reported,NA
cutaneous,31.01.2019,2019,authorised,approved,25.10.2019,2019,Diseases of the skin,000240793.pdf,Small molecule,Corectim,atopic dermatitis,no,atopic dermatitis,Japan Tobacco Inc.,Japan Tobacco,Not reported,Delgocitinib,no,no,ointment,Not reported,NA
oral,27.04.2015,2015,authorised,approved,01.02.2016,2016,Neoplasms; Diseases of the skin,000233741.pdf,Small molecule,Mekinist,Unresectable malignant melanoma with BRAF mutations,no,Malignant melanoma with BRAF V600 mutations,Novartis Pharma K.K.,Novartis,Not reported,Trametinib,no,yes,tablet,Not reported,NA
oral,30.06.2022,2022,authorised,approved,27.02.2023,2023,Infectious and parasitic diseases,000270863.pdf,Small molecule,Valixa,Symptomatic congenital cytomegalovirus disease,yes,Symptomatic congenital cytomegalovirus disease,Mitsubishi Tanabe Pharma Corporation,Mitsubishi Tanabe,Not reported,Valganciclovir,yes,yes,Dry syrup,Not reported,Not reported
oral,04.03.2010,2010,authorised,approved,24.11.2010,2010,Diseases of the circulatory system,000207341.pdf,Small molecule,Pradaxa,Reduction in the risk of ischaemic stroke and systemic embolism in patients with non-valvular atrial fibrillation,no,Reduction in the risk of stroke and systemic embolism in patients with atrial fibrillation,"Nippon Boehringer Ingelheim Co., Ltd.",Boehringer Ingelheim,Not reported,Dabigatran Etexilate Methanesulfonate,no,no,capsule,Not reported,NA
oral,30.01.2023,2023,authorised,approved,08.12.2023,2023,Mental and behavioural disorders,000272245.pdf,Small molecule,Rexulti,Depression or depressive state (for use only in patients who have an inadequate response to existing antidepressant therapy),yes,Depression or depressive state (for use only in patients who have an inadequate response to existing antidepressant therapy),"Otsuka Pharmaceutical Co., Ltd.",Otsuka,Not reported,Brexpiprazole,yes,no,tablet,Not reported,Not reported
oral,22.05.2018,2018,authorised,approved,21.02.2019,2019,"Endocrine, nutritional, and metabolic diseases",000232846.pdf,Small molecule,Rosuzet,"Hypercholesterolemia, familial hypercholesterolemia",no,"Hypercholesterolemia, familial hypercholesterolemia",MSD K.K.,MSD,Not reported,Ezetimibe / Rosuvastatin Calcium,no,no,tablet,Not reported,NA
oral,30.01.2018,2018,authorised,approved,29.08.2018,2018,Neoplasms; Diseases of the respiratory system,000228981.pdf,Small molecule,Lorbrena,ALK fusion gene-positive unresectable advanced and/or recurrent non-small cell lung cancer with resistance or intolerance to ALK tyrosine kinase inhibitor(s),no,ALK fusion gene-positive unresectable advanced and/or recurrent non-small cell lung cancer with resistance or intolerance to ALK tyrosine kinase inhibitor(s),Pfizer Japan Inc.,Pfizer,Not reported,Lorlatinib,no,no,tablet,Not reported,NA
intramuscular,24.05.2021,2021,authorised,approved,30.05.2022,2022,Infectious and parasitic diseases,000250190.pdf,Vaccine,Jcovden,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),no,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),Janssen Pharmaceutical K.K.,Janssen,Not reported,COVID-19 (SARS-CoV-2) Vaccine,no,no,injection,Not reported,NA
intravenous,30.03.2016,2016,authorised,approved,09.02.2017,2017,Diseases of the digestive system,000227668.pdf,Biologics,Stelara,Induction therapy for moderately to severely active Crohn’s disease (only in patients who have had an inadequate response to conventional therapy),yes,Induction therapy for moderately to severely active Crohn’s disease (only in patients who have had an inadequate response to conventional therapy),Janssen Pharmaceutical K.K.,Janssen,Not reported,Ustekinumab,yes,no,solution,Not reported,Not reported
intravenous,19.01.2021,2021,authorised,approved,30.08.2021,2021,"Endocrine, nutritional, and metabolic diseases",000270056.pdf,Biologics,Nexviazyme,Pompe disease,yes,Pompe disease,Sanofi K.K.,Sanofi,Not reported,Avalglucosidase Alfa,no,yes,Lyophilized powder,Not reported,NA
intravenous,10.02.2022,2022,authorised,approved,25.08.2022,2022,Diseases of the blood and blood-forming organs,000265467.pdf,Biologics,Cablivi,Acquired thrombotic thrombocytopenic purpura,no,Acquired thrombotic thrombocytopenic purpura,Sanofi K.K.,Sanofi,Not reported,Caplacizumab,no,yes,Lyophilized powder,Not reported,NA
intramuscular,16.12.2021,2021,authorised,approved,18.04.2022,2022,Infectious and parasitic diseases,000248293.pdf,Vaccine,Nuvaxovid,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),no,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),Takeda Pharmaceutical Company Limited,Takeda,Not reported,Recombinant Coronavirus (SARS-CoV-2) Vaccine,yes,no,injection,Not reported,Not reported
oral,25.12.2009,2009,authorised,approved,08.11.2010,2010,"Diseases of the musculoskeletal system and connective tissue; Endocrine, nutritional, and metabolic diseases",000223354.pdf,Small molecule,Feburic,Gout and hyperuricemia,no,Improvement of hyperuricemia in patients with gout or hyperuricemia,Teijin Pharma Limited,Teijin,Not reported,Febuxostat,no,no,tablet,Not reported,NA
intravenous,06.09.2021,2021,authorised,approved,27.09.2021,2021,Infectious and parasitic diseases,000245006.pdf,Biologics,Xevudy,Disease caused by SARS-CoV-2 infection (COVID-19),no,Disease caused by SARS-CoV-2 infection (COVID-19),GlaxoSmithKline K.K.,GlaxoSmithKline,Not reported,Sotrovimab,no,no,solution,Not reported,NA
intravenous,23.01.2019,2019,authorised,approved,10.10.2019,2019,Neoplasms; Diseases of the respiratory system,000235287.pdf,Biologics,Tecentriq,Unresectable advanced or recurrent non-small cell lung cancer; Extensive-stage small cell lung cancer,yes,Unresectable advanced or recurrent non-small cell lung cancer,"Chugai Pharmaceutical Co., Ltd.",Chugai,Not reported,Atezolizumab,yes,no,Injection,Not reported,Not reported
intravenous,21.12.2018,2018,authorised,approved,07.08.2019,2019,Neoplasms,000235286.pdf,Biologics,Tecentriq,"PD-L1-positive, hormone-receptor-negative and HER2-negative inoperable or recurrent breast cancer",yes,PD-L1-positive inoperable or recurrent breast cancer,"Chugai Pharmaceutical Co., Ltd.",Chugai,Not reported,Atezolizumab,yes,no,Injection,Not reported,Not reported
oral,29.07.2015,2015,authorised,approved,20.04.2016,2016,Diseases of the musculoskeletal system and connective tissue; Neoplasms,000223355.pdf,Small molecule,Feburic,Gout and hyperuricemia; Hyperuricemia associated with cancer chemotherapy,yes,Gout and hyperuricemia; Prevention of hyperuricemia associated with cancer chemotherapy,Teijin Pharma Limited,Teijin,Not reported,Febuxostat,yes,no,tablet,Not reported,Not reported
Oral,26.07.2023,2023,authorised,approved,29.02.2024,2024,Diseases of the musculoskeletal system and connective tissue,000273006.pdf,Small molecule,Acenobel,Suppression of the progression of muscular weakness in patients with distal myopathy with rimmed vacuoles,no,Suppression of the progression of muscular weakness in patients with GNE myopathy,"Nobelpharma Co., Ltd.",Nobel,Not reported,Aceneuramic Acid,no,yes,tablet,Not reported,NA
oral,30.06.2020,2020,authorised,approved,28.05.2021,2021,Neoplasms; Diseases of the blood and blood-forming organs,000250191.pdf,Small molecule,Tazverik,Relapsed or refractory EZH2 gene mutation-positive follicular lymphoma (limited to those refractory to standard treatments),no,Relapsed or refractory EZH2 gene mutation-positive follicular lymphoma (limited to those refractory to standard treatments),"Eisai Co., Ltd.",Eisai,Not reported,Tazemetostat Hydrobromide,no,no,tablet,Not reported,NA
oral,23.06.2017,2017,authorised,approved,02.03.2018,2018,Neoplasms; Diseases of the digestive system,000233542.pdf,Small molecule,Lenvima,"Unresectable thyroid cancer, unresectable hepatocellular carcinoma",yes,Unresectable hepatocellular carcinoma,"Eisai Co., Ltd.",Eisai,Not reported,Lenvatinib Mesilate,yes,no,capsule,Not reported,Not reported
oral,08.07.2019,2019,authorised,approved,29.05.2020,2020,Diseases of the blood and blood-forming organs,000243933.pdf,Small molecule,Vafseo,Renal anemia,no,Renal anemia,Mitsubishi Tanabe Pharma Corporation,Mitsubishi Tanabe,Not reported,Vadadustat,no,no,tablet,Not reported,NA
Oral,27.04.2015,2015,authorised,approved,01.02.2016,2016,Neoplasms; Diseases of the skin,000233740.pdf,Small molecule,Tafinlar,Unresectable malignant melanoma with BRAF mutations,no,Malignant melanoma with BRAF V600 mutations,Novartis Pharma K.K.,Novartis,Not reported,Dabrafenib,no,yes,capsule,Not reported,NA
percutaneous,06.07.2022,2022,authorised,approved,29.07.2022,2022,Infectious and parasitic diseases,000247943.pdf,Vaccine,Freeze-dried Smallpox Vaccine Prepared in Cell Culture LC16 “KMB”,Prevention of smallpox and monkeypox,yes,Prevention of smallpox and monkeypox,"KM Biologics Co., Ltd.",KM Biologics,Not reported,Freeze-dried Smallpox Vaccine Prepared in Cell Culture,yes,no,Powder,Not reported,Not reported
oral,17.12.2015,2015,authorised,approved,09.09.2016,2016,Infectious and parasitic diseases,000222649.pdf,Small molecule,Viekirax,Suppression of viremia in serogroup 2 (genotype 2) chronic hepatitis C patients,yes,Suppression of viremia in treatment-naïve patients with serogroup 2 (genotype 2) chronic hepatitis C,AbbVie GK,AbbVie,Not reported,Ombitasvir Hydrate/Paritaprevir Hydrate/Ritonavir,no,no,tablet,Not reported,NA
subcutaneous,07.10.2016,2016,authorised,approved,27.07.2017,2017,Diseases of the musculoskeletal system and connective tissue,000226413.pdf,Biologics,Kevzara,Rheumatoid arthritis in patients who have had an inadequate response to conventional treatments,no,Rheumatoid arthritis in patients who have had an inadequate response to conventional treatments,Sanofi K.K.,Sanofi,Not reported,Sarilumab,no,no,solution,Not reported,NA
intravenous,17.02.2017,2017,authorised,approved,06.11.2017,2017,Neoplasms; Diseases of the respiratory system,000234771.pdf,Biologics,Tecentriq,Unresectable advanced or recurrent non-small cell lung cancer,no,Unresectable advanced or recurrent non-small cell lung cancer,"Chugai Pharmaceutical Co., Ltd.",Chugai,Not reported,Atezolizumab,no,no,solution,Not reported,NA
oral,31.03.2011,2011,authorised,approved,29.02.2012,2012,Neoplasms; Diseases of the respiratory system,000153949.pdf,Small molecule,Xalkori,"ALK-positive, unresectable, advanced or relapsed non-small-cell lung cancer",no,ALK-positive advanced non-small-cell lung cancer,Pfizer Japan Inc.,Pfizer,Not reported,Crizotinib,no,yes,capsule,Not reported,NA
intravenous,05.10.2016,2016,authorised,approved,24.11.2016,2016,Neoplasms; Diseases of the blood and blood-forming organs,000227269.pdf,Small molecule,Treakisym,Low-grade B-cell non-Hodgkin’s lymphoma and mantle cell lymphoma; Chronic lymphocytic leukemia,yes,Low-grade B-cell non-Hodgkin’s lymphoma and mantle cell lymphoma; Chronic lymphocytic leukemia,SymBio Pharmaceuticals Limited,SymBio,Not reported,Bendamustine Hydrochloride,yes,no,Lyophilized powder,Not reported,Not reported
oral,31.01.2024,2024,authorised,approved,24.05.2024,2024,Neoplasms; Diseases of the blood and blood-forming organs,000272485.pdf,Small molecule,Ezharmia,Relapsed or refractory peripheral T-cell lymphoma,yes,Relapsed or refractory peripheral T-cell lymphoma,"Daiichi Sankyo Company, Limited",Daiichi Sankyo,Not reported,Valemetostat,yes,no,tablet,Not reported,Not reported
oral,29.10.2013,2013,authorised,approved,26.06.2014,2014,Infectious and parasitic diseases,000209023.pdf,Small molecule,Sunvepra,"Improvement of viraemia in patients with chronic hepatitis C serogroup 1 (genotype 1), or chronic hepatitis C serogroup 1 with compensated cirrhosis",no,"Improvement of viraemia in patients with chronic hepatitis C serogroup 1 (genotype 1), or chronic hepatitis C serogroup 1 with compensated cirrhosis",Bristol-Myers K.K.,Bristol-Myers,Not reported,Asunaprevir,no,no,capsule,Not reported,NA
oral,29.03.2010,2010,authorised,approved,21.02.2011,2011,Diseases of the musculoskeletal system and connective tissue,000220894.pdf,Small molecule,Lixiana,Prevention of venous thromboembolism in patients undergoing orthopedic surgery of the lower limbs,no,Prevention of venous thromboembolism in patients undergoing orthopedic surgery of the lower limbs,"Daiichi Sankyo Company, Limited",Daiichi Sankyo,Not reported,Edoxaban Tosilate Hydrate,no,no,tablet,Not reported,NA
oral,26.02.2018,2018,authorised,approved,03.12.2018,2018,Diseases of the circulatory system,000231769.pdf,Small molecule,Minnebro,Hypertension,no,Hypertension,"Daiichi Sankyo Company, Limited",Daiichi Sankyo,Not reported,Esaxerenone,no,no,tablet,Not reported,NA
Oral,27.02.2019,2019,authorised,approved,29.05.2020,2020,Diseases of the nervous system,000243472.pdf,Small molecule,Ongentys,Improvement of end-of-dose motor fluctuations (wearing-off phenomenon) in patients with Parkinson’s disease by combination use with levodopa/carbidopa or levodopa/benserazide hydrochloride,no,Improvement of end-of-dose motor fluctuations (wearing-off phenomenon) in patients with Parkinson’s disease by combination use with levodopa/carbidopa or levodopa/benserazide hydrochloride,"Ono Pharmaceutical Co., Ltd.",Ono,Not reported,Opicapone,no,no,Tablet,Not reported,NA
intravenous,22.03.2017,2017,authorised,approved,04.12.2017,2017,Diseases of the nervous system,000231967.pdf,Biologics,Soliris,Treatment of patients with generalized myasthenia gravis (only for symptoms uncontrollable with high-dose intravenous immunoglobulin therapy or plasmapheresis),yes,Treatment of patients with generalized myasthenia gravis (only for symptoms uncontrollable with high-dose intravenous immunoglobulin therapy or plasmapheresis),Alexion Pharma Godo Kaisha,Alexion,Not reported,Eculizumab,yes,yes,injection,Not reported,Not reported
