Administration_route,Application_date,Application_year,Current_status,Dataset,Decision,Decision_date,Decision_year,Disease_class(es),Document_name,Drug_class,Drug_name,Indication_approved,Disease_name(s),Indication_extended,Indication_requested,Indication_requested_extracted,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body
intravenous,01.12.2020,2020,authorised (under additional monitoring),SWISSMEDIC,conditional marketing authorisation,22.03.2022,2022,Neoplasms; Diseases of the blood and blood-forming organs,swisspar_minjuvi_na_nas_mit_fi.pdf,Biologics,Minjuvi,"MINJUVI is indicated in combination with lenalidomide followed by MINJUVI monotherapy for the treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL) after at least one prior line of systemic therapy including an anti-CD20 antibody, who are not eligible for autologous stem cell transplant (ASCT).",<Diffuse Large B-Cell Lymphoma>,no,"MINJUVI is indicated in combination with lenalidomide, followed by MINJUVI monotherapy, for the treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL), who are not eligible for, or who refuse, an autologous stem cell transplant (ASCT).",<Diffuse Large B-Cell Lymphoma>,Incyte Biosciences International,Incyte,68083,tafasitamab,yes,yes,powder,Not reported,FDA and EMA/CHMP
intravenous,11.04.2023,2023,authorised (under additional monitoring),SWISSMEDIC,approved,15.11.2023,2023,Infectious and parasitic diseases; Diseases of the skin,swisspar_tenkasi_ie.pdf,Small molecule,Tenkasi,Tenkasi is indicated for the treatment of acute bacterial skin and skin structure infections (ABSSSI) in adults and paediatric patients aged 3 months and older if it is established or strongly suspected after microbiological sensitivity testing that the infection is caused by sensitive bacteria.,<Acute Bacterial Skin and Skin Structure Infections>,yes,Tenkasi is indicated for the treatment of acute bacterial skin and skin structure infections (ABSSSI) in adults and paediatric patients aged 3 months and older if it is established or strongly suspected after microbiological sensitivity testing that the infection is caused by sensitive bacteria.,<Acute Bacterial Skin and Skin Structure Infections>,A. Menarini GmbH,Menarini,68135,oritavancin,yes,no,powder,Not reported,NA
oral,11.06.2019,2019,authorised (under additional monitoring),SWISSMEDIC,approved,10.02.2021,2021,Diseases of the nervous system,swisspar_epidyolex_final_zur_publikation.pdf,Small molecule,Epidyolex,Epidyolex is indicated for the adjunctive therapy of seizures associated with Lennox-Gastaut syndrome (LGS) or Dravet syndrome (DS) in patients 2 years of age and older.,<Seizures>; <Lennox-Gastaut Syndrome>; <Dravet Syndrome>,no,Epidyolex is indicated for the adjunctive therapy of seizures associated with Lennox-Gastaut syndrome or Dravet syndrome in patients 2 years of age and older.,<Seizures>; <Lennox-Gastaut Syndrome>; <Dravet Syndrome>,DRAC AG,DRAC,67590,cannabidiol,yes,yes,solution,Not reported,FDA; EMA
oral,20.05.2020,2020,authorised (under additional monitoring),SWISSMEDIC,approved,23.11.2021,2021,Diseases of the blood and blood-forming organs,swisspar_doptelet.pdf,Small molecule,Doptelet,Doptelet is indicated for the treatment of severe thrombocytopenia in adult patients with chronic liver disease who are scheduled to undergo an invasive procedure. Doptelet is indicated for the treatment of chronic immune thrombocytopenia (ITP) in adult patients who have shown insufficient response to at least one prior treatment.,<Thrombocytopenia>; <Chronic Liver Disease>; <Immune Thrombocytopenia>,no,"Doptelet is indicated for the treatment of severe thrombocytopenia in adult patients with chronic liver disease (CLD) who are scheduled to undergo an invasive procedure. Doptelet is indicated for the treatment of chronic immune thrombocytopenia (ITP) in adult patients who have not responded to other treatments (e.g. corticoids, immunoglobulins).",<Thrombocytopenia>; <Liver Diseases>,Swedish Orphan Biovitrum AG,Swedish Orphan Biovitrum,67893,avatrombopag,yes,no,tablet,Not reported,European Medicines Agency (EMA)
intramuscular,12.11.2021,2021,authorised,SWISSMEDIC,approved,14.02.2023,2023,Infectious and parasitic diseases; Diseases of the respiratory system,swisspar_vaxneuvance_final.pdf,Vaccine,Vaxneuvance,Vaxneuvance is indicated for active immunisation for the prevention of invasive disease and pneumonia caused by Streptococcus pneumoniae in individuals 65 years of age and older.,<Invasive Pneumococcal Disease>; <Pneumonia>,no,Vaxneuvance is indicated for active immunisation for the prevention of invasive disease and pneumonia caused by Streptococcus pneumoniae in individuals 18 years of age and older.,<Invasive Pneumococcal Disease>; <Pneumonia>,MSD Merck Sharp & Dohme AG,Merck Sharp & Dohme,68752,Streptococcus pneumoniae serotypes 1 / 3 / 4 / 5 / 6A / 6B / 7F / 9V / 14 / 18C / 19A / 19F / 22F / 23F / 33F polysaccharide conjugated to Corynebacterium diphtheriae CRM 197 protein,yes,no,suspension,Not reported,EMA
intravenous,29.01.2024,2024,authorised (under additional monitoring),SWISSMEDIC,approved,13.09.2024,2024,Diseases of the circulatory system,swisspar_winrevair.pdf,Biologics,Winrevair,"Winrevair, in combination with standard pulmonary arterial hypertension (PAH) therapy, is indicated for the treatment of PAH in adult patients with WHO functional class (FC) II to III to improve exercise capacity and to delay disease progression.",<Pulmonary Hypertension>,no,"Winrevair is indicated in combination with standard of care therapy for the treatment of pulmonary arterial hypertension (PAH) in adult patients with WHO functional class (FC) II to III to improve exercise capacity, provide clinical improvement, improve WHO FC, and delay disease progression, including to reduce the risk of death and hospitalisation due to PAH.",<Pulmonary Hypertension>,MSD Merck Sharp & Dohme AG,Merck Sharp & Dohme,69129,sotatercept,no,yes,powder,Not reported,NA
intramuscular,15.11.2022,2022,authorised (under additional monitoring),SWISSMEDIC,approved,22.12.2023,2023,Infectious and parasitic diseases; Diseases of the respiratory system,swisspar_beyfortus.pdf,Biologics,Beyfortus,"Prevention of lower respiratory tract disease caused by RSV in neonates, infants, and toddlers up to 24 months.",<Respiratory Tract Infections>,no,Prevention of Respiratory Syncytial Virus (RSV) lower respiratory tract disease.,<Respiratory Tract Infections>,Sanofi-Aventis (Suisse) SA,Sanofi-Aventis,69039,nirsevimab,yes,no,solution,Not reported,European Medicines Agency (EMA)
oral,23.12.2019,2019,authorised,SWISSMEDIC,approved,06.01.2022,2022,Diseases of the respiratory system,swisspar_solmucol_bronchoprotect_final.pdf,Other,Solmucol Bronchoprotect,Prophylaxis of recurrent respiratory tract infections in adults and children from the age of 3 years.,<Respiratory Tract Infections>,no,Prophylaxis of recurrent respiratory tract infections in adults and children from the age of 3 years.,<Respiratory Tract Infections>,IBSA Institut Biochimique SA,IBSA,67822,Not applicable,yes,no,tablet,EMEA/H/A-31/1465,EMA
oral,01.12.2020,2020,authorised (under additional monitoring),SWISSMEDIC,approved,26.11.2021,2021,"Diseases of the genitourinary system; Endocrine, nutritional, and metabolic diseases; Diseases of the circulatory system",swisspar_kerendia-1.pdf,Small molecule,Kerendia,Kerendia is indicated to delay progression of chronic kidney disease in adult patients with type 2 diabetes mellitus.,"<Chronic Kidney Disease>; <Diabetes Mellitus, Type 2>",no,Kerendia is indicated to delay progression of kidney disease and to reduce the risk of cardiovascular mortality and morbidity in adults with chronic kidney disease and type 2 diabetes mellitus.,"<Chronic Kidney Disease>; <Diabetes Mellitus, Type 2>",Bayer (Schweiz) AG,Bayer,68130,finerenone,yes,no,tablet,Not reported,Not reported
oral,26.08.2020,2020,authorised (under additional monitoring),SWISSMEDIC,approved,22.06.2021,2021,Neoplasms; Diseases of the respiratory system,swisspar_tepmetko.pdf,Small molecule,Tepmetko,treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) harbouring a MET tyrosine kinase receptor exon 14 (METex14) skipping mutation,<Non-Small-Cell Lung Carcinoma>,no,treatment of adult patients with advanced non-small cell lung cancer (NSCLC) harbouring MET tyrosine kinase receptor exon 14 (METex14) skipping alterations,<Non-Small-Cell Lung Carcinoma>,Merck (Schweiz) AG,Merck,68113,tepotinib as tepotinib hydrochloride monohydrate,no,yes,tablet,Not reported,NA
Subcutaneous,18.05.2020,2020,authorised,SWISSMEDIC,approved,09.09.2021,2021,"Endocrine, nutritional, and metabolic diseases; Diseases of the circulatory system",2024-09-13_swisspar_leqvio_fi_engl.pdf,Small molecule,LEQVIO,Hypercholesterolaemia and mixed dyslipidaemia,<Hypercholesterolemia>; <Dyslipidemias>,no,"Inclisiran is intended for use in adults with hypercholesterolaemia (including heterozygous familial hypercholesterolaemia) or mixed dyslipidaemia, as an adjunct to diet.",<Hypercholesterolemia>; <Dyslipidemias>,Novartis Pharma Schweiz AG,Novartis,67836,inclisiran,no,no,solution,Not reported,NA
Subretinal,10.05.2019,2019,authorised,SWISSMEDIC,approved,14.02.2020,2020,Diseases of the eye and adnexa,2020-04-15_swisspar_luxturna-final.pdf,Cell and gene therapy,Luxturna,Luxturna is used for the treatment of adult and paediatric patients with vision loss due to inherited retinal dystrophy caused by confirmed biallelic RPE65 mutations and who have sufficient viable retinal cells.,<Retinal Dystrophies>,no,Luxturna is used for the treatment of adult and paediatric patients with vision loss due to inherited retinal dystrophy caused by confirmed biallelic RPE65 mutations and who have sufficient viable retinal cells.,<Retinal Dystrophies>,Novartis Pharma Schweiz AG,Novartis,67371,Voretigene neparvovec,no,yes,Concentrate; solvent,Not reported,NA
subcutaneous,01.11.2022,2022,authorised (under additional monitoring),SWISSMEDIC,approved,23.06.2023,2023,"Endocrine, nutritional, and metabolic diseases; Diseases of the nervous system",2024-04-23_final_assessment_report_swisspar_amvuttra_mit_fi_engl.pdf,Small molecule,Amvuttra,Treatment of hereditary transthyretin-mediated amyloidosis (hATTR amyloidosis) in adult patients with stage 1 or stage 2 polyneuropathy,<Transthyretin Amyloidosis>,no,Treatment of hereditary transthyretin-mediated amyloidosis (hATTR amyloidosis) in adult patients with stage 1 or stage 2 polyneuropathy,<Transthyretin Amyloidosis>,Alnylam Switzerland GmbH,Alnylam,69074,vutrisiran sodium,yes,yes,solution,Not reported,EMA
autologous; intravenous,30.10.2020,2020,authorised,SWISSMEDIC,approved,28.03.2022,2022,Neoplasms; Diseases of the blood and blood-forming organs,2024-07-22_final_swisspar_breyanzi_mit_fi.pdf,Cell and gene therapy,Breyanzi,Treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL) and primary mediastinal large B-cell lymphoma (PMBCL) after at least 2 prior therapies.,<Diffuse Large B-Cell Lymphoma>; <Primary Mediastinal Large B-Cell Lymphoma>,no,"Treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL), primary mediastinal large B-cell lymphoma (PMBCL), and follicular lymphoma grade 3B (FL3B) after at least 2 prior therapies.",<Diffuse Large B-Cell Lymphoma>; <Primary Mediastinal Large B-Cell Lymphoma>; <Follicular Lymphoma>,Bristol-Myers Squibb SA,Bristol-Myers Squibb,67469,lisocabtagene maraleucel,no,yes,dispersion,Not reported,NA
intravenous,27.12.2022,2022,authorised,SWISSMEDIC,approved,03.05.2024,2024,Neoplasms; Diseases of the blood and blood-forming organs,2024-07-30_swisspar_und_fi_engl.pdf,Cell and gene therapy,Ebvallo,"Ebvallo is indicated as monotherapy for treatment of adult and paediatric patients 2 years of age and older with relapsed or refractory Epstein-Barr virus positive post-transplant lymphoproliferative disease (EBV+ PTLD) who have received at least one prior therapy. For solid organ transplant patients, prior therapy includes chemotherapy unless chemotherapy is inappropriate.",<Epstein-Barr Virus-Associated Post-Transplant Lymphoproliferative Disorder>,no,"Ebvallo is indicated as monotherapy for treatment of adult and paediatric patients 2 years of age and older with relapsed or refractory Epstein-Barr virus positive post-transplant lymphoproliferative disease (EBV+ PTLD) who have received at least one prior therapy. For solid organ transplant patients, prior therapy includes chemotherapy unless chemotherapy is inappropriate.",<Epstein-Barr Virus-Associated Post-Transplant Lymphoproliferative Disorder>,Pierre Fabre Pharma SA,Pierre Fabre,69052,tabelecleucel,yes,yes,dispersion,EMEA/H/C/004577/0000,EMA
intravenous,27.10.2022,2022,authorised (under additional monitoring),SWISSMEDIC,approved,07.12.2023,2023,Diseases of the nervous system,2024-08-07_final_swisspar_libmeldy_fi_engl.pdf,Cell and gene therapy,Libmeldy,"Libmeldy is indicated for the treatment of metachromatic leukodystrophy (MLD) characterised by biallelic mutations in the arylsulfatase A (ARSA) gene leading to a reduction of the ARSA enzymatic activity: in children with late infantile or early juvenile forms, without clinical manifestations of the disease, in children with the early juvenile form, with early clinical manifestations of the disease, who still have the ability to walk independently, and before the onset of cognitive decline.","<Leukodystrophy, Metachromatic>",no,"Libmeldy is indicated for the treatment of metachromatic leukodystrophy (MLD) characterised by biallelic mutations in the arylsulfatase A (ARSA) gene leading to a reduction of the ARSA enzymatic activity: in children with late infantile or early juvenile forms, without clinical manifestations of the disease, in children with the early juvenile form, with early clinical manifestations of the disease, who still have the ability to walk independently, and before the onset of cognitive decline.","<Leukodystrophy, Metachromatic>",SFL Pharma GmbH,SFL,68236,atidarsagene autotemcel,yes,yes,dispersion,Not reported,EMA
subcutaneous,26.02.2021,2021,authorised (under additional monitoring),SWISSMEDIC,approved,01.12.2021,2021,"Endocrine, nutritional, and metabolic diseases",2024-08-07_final_swisspar_oxlumo_fi_engl.pdf,Small molecule,OXLUMO,Oxlumo is indicated for the treatment of primary hyperoxaluria type 1 (PH1) in all age groups.,<Primary Hyperoxaluria Type 1>,no,Oxlumo is indicated for the treatment of primary hyperoxaluria type 1 (PH1) in all age groups.,<Primary Hyperoxaluria Type 1>,Alnylam Switzerland GmbH,Alnylam,68239,lumasiran,yes,yes,solution,EMEA/H/C/005040/0000,EMA
subcutaneous,02.06.2020,2020,authorised (under additional monitoring),SWISSMEDIC,approved,29.03.2021,2021,"Endocrine, nutritional, and metabolic diseases",2024-09-13_swisspar_givlaari_fi_engl-1.pdf,Small molecule,Givlaari,Treatment of acute hepatic porphyria in adults and adolescents aged 12 years and older.,<Porphyrias>,no,Treatment of acute hepatic porphyria in adults and adolescents aged 12 years and older.,<Porphyrias>,Alnylam Switzerland GmbH,Alnylam,67895,givosiran,yes,yes,solution,Not reported,EMA
intramuscular,21.01.2021,2021,authorised (under additional monitoring),SWISSMEDIC,approved,10.11.2021,2021,Infectious and parasitic diseases,2024-09-16_swisspar_ervebo_fi_engl.pdf,Vaccine,Ervebo,Active immunisation of individuals 18 years of age or older to protect against Ebola Virus Disease (EVD) caused by Zaire Ebola virus.,<Ebola Virus Disease>,no,Active immunisation of individuals 18 years of age or older to protect against Ebola Virus Disease (EVD) caused by Zaire Ebola virus.,<Ebola Virus Disease>,MSD Merck Sharp & Dohme AG,Merck Sharp & Dohme,68358,"Ebola Zaire Vaccine (rVSV ΔG-ZEBOV-GP, live)",yes,no,solution,EMEA/H/C/004554/0000,EMA
autologous; intravenous,03.12.2021,2021,authorised (under additional monitoring),SWISSMEDIC,approved,12.01.2023,2023,Neoplasms; Diseases of the blood and blood-forming organs,2024-09-26_final_swisspar_tecartus_rrall_fi_engl.pdf,Cell and gene therapy,Tecartus,Tecartus is indicated for the treatment of adult patients with relapsed or refractory B-cell precursor acute lymphoblastic leukaemia (ALL) after 2 or more systemic therapies.,<B-Cell Precursor Acute Lymphoblastic Leukemia>,yes,Tecartus is indicated for the treatment of adult patients with relapsed or refractory B-cell precursor acute lymphoblastic leukaemia (ALL).,<B-Cell Precursor Acute Lymphoblastic Leukemia>,Gilead Sciences Switzerland Sàrl,Gilead,67884,brexucaptagene autoleucel,yes,yes,dispersion,Not reported,NA
subcutaneous,14.04.2023,2023,authorised (under additional monitoring),SWISSMEDIC,approved,29.07.2024,2024,Infectious and parasitic diseases,2024-10-08_swisspar_qdenga_art_13_final_fi_engl.pdf,Vaccine,Qdenga,Qdenga is indicated for the prevention of dengue disease in individuals from 4 years of age.,<Dengue>,no,Qdenga is indicated for the prevention of dengue disease in individuals from 4 years of age.,<Arbovirus Infections>,Takeda Pharma AG,Takeda,69403,"live, attenuated Dengue virus serotype 1; live, attenuated Dengue virus serotype 2; live, attenuated Dengue virus serotype 3; live, attenuated Dengue virus serotype 4",yes,no,powder; solvent,EMEA/H/C/005155/0000,EMA
intravenous,20.12.2023,2023,authorised (under additional monitoring),SWISSMEDIC,conditional marketing authorisation,06.09.2024,2024,Diseases of the blood and blood-forming organs,2024-11-22_final_swisspar_casgevy_art_13_fi_engl_corr.pdf,Cell and gene therapy,Casgevy,β-thalassemia; Sickle cell disease,"<Thalassemia>; <Anemia, Sickle Cell>",no,β-thalassemia; Sickle cell disease,"<Thalassemia>; <Anemia, Sickle Cell>",Vertex Pharmaceuticals (CH) GmbH,Vertex,68978,exagamglogene autotemcel,yes,yes,dispersion,EMEA/H/C/005763/0000,EMA
intramuscular,20.11.2023,2023,authorised (under additional monitoring),SWISSMEDIC,approved,29.07.2024,2024,Infectious and parasitic diseases,2024-12-10_final_swisspar_ervebo_ie_kinder_ab_1j_fi_engl.pdf,Vaccine,Ervebo,Ervebo is indicated for active immunisation of individuals 1 year of age or older to protect against Ebola virus disease (EVD) caused by Zaire Ebola virus,<Ebola Virus Disease>,yes,Ervebo is indicated for active immunisation of individuals 1 year of age or older to protect against Ebola virus disease (EVD) caused by Zaire Ebola virus,<Ebola Virus Disease>,MSD Merck Sharp & Dohme AG,Merck Sharp & Dohme,68358,"rVSVdeltaG-ZEBOV-GP, live, attenuated",yes,Not reported,solution,EMEA/H/C/004554/II/0025,EMA
intravenous,15.03.2023,2023,authorised,SWISSMEDIC,approved,07.12.2023,2023,Diseases of the blood and blood-forming organs,2024-12-13_hemgenix_swisspar_final_fi_engl.pdf,Cell and gene therapy,Hemgenix,treatment of male adults with severe/moderately severe Haemophilia B (congenital Factor IX deficiency) with a preexisting neutralising adeno-associated viral vector serotype 5 (AAV5) antibody titre below 1:900 to reduce the frequency of bleeding episodes and the need for Factor IX replacement therapy,<Hemophilia B>,no,treatment of adults with Haemophilia B (congenital Factor IX deficiency) with a preexisting neutralising adeno-associated viral vector serotype 5 (AAV5) antibody titre below 1:900 to reduce the frequency of bleeding episodes and the need for Factor IX replacement therapy,<Hemophilia B>,CSL Behring AG,CSL Behring,68780,etranacogene dezaparvovec,no,yes,concentrate,Not reported,NA
Subcutaneous; Intravenous,03.01.2019,2019,authorised (under additional monitoring),SWISSMEDIC,approved,01.10.2019,2019,Diseases of the blood and blood-forming organs,66792-cablivi-01-swisspar-20191108.pdf,Biologics,Cablivi,"Treatment of adults suffering from an episode of acquired thrombotic thrombocytopenic purpura (aTTP), in combination with plasmapheresis and immunosuppression.",<Thrombotic Thrombocytopenic Purpura>,no,"Treatment of adults suffering from an episode of acquired thrombotic thrombocytopenic purpura (aTTP), in combination with plasmapheresis and immunosuppression.",<Thrombotic Thrombocytopenic Purpura>,Sanofi-Aventis (Suisse) SA,Sanofi-Aventis,66792,caplacizumabum,yes,yes,Powder; solvent,Not reported,European Medicines Agency EMA
Intravenous,03.01.2019,2019,authorised (under additional monitoring),SWISSMEDIC,approved,23.09.2019,2019,"Endocrine, nutritional, and metabolic diseases; Diseases of the nervous system",67304-onpattro-01-swisspar-20191113.pdf,Small molecule,ONPATTRO,Onpattro is indicated for the treatment of hereditary transthyretin-mediated amyloidosis (hATTR amyloidosis) in adult patients with stage 1 or stage 2 polyneuropathy.,<Transthyretin Amyloidosis>,no,Onpattro is indicated for the treatment of hereditary transthyretin-mediated amyloidosis (hATTR amyloidosis) in adult patients with stage 1 or stage 2 polyneuropathy.,<Transthyretin Amyloidosis>,Alnylam Switzerland GmbH,Alnylam,67304,Patisiran,yes,yes,concentrate,Not reported,European Medicines Agency (EMA)
oral,06.01.2020,2020,authorised,SWISSMEDIC,approved,07.05.2020,2020,Neoplasms,20200602_swisspar_tukysa.pdf,Small molecule,Tukysa,"TUKYSA in combination with trastuzumab and capecitabine is indicated for the treatment of patients with metastatic HER2-positive breast cancer, who have previously received 2 or more anti-HER2 regimens in any setting, including trastuzumab, pertuzumab and trastuzumab-emtansine (T–DM1).",<Breast Neoplasms>,no,"Tukysa is indicated in combination with trastuzumab and capecitabine for the treatment of patients with locally advanced unresectable or metastatic HER2-positive breast cancer, including patients with brain metastases, who have received at least 2 prior anti-HER2 treatment regimens.",<Breast Neoplasms>; <Brain Neoplasms>,SFL Regulatory Affairs & Scientific Communication GmbH,SFL,67798,tucatinibum,no,no,tablet,Not reported,NA
subcutaneous,25.10.2019,2019,authorised (under additional monitoring),SWISSMEDIC,approved,13.07.2020,2020,Diseases of the nervous system,20200827_swisspar_enspryng_final.pdf,Biologics,Enspryng,Enspryng is used as a monotherapy or in combination with immunosuppressive therapy (IST) for the treatment of neuromyelitis optica spectrum disorders (NMOSD) in adult and adolescents in whom aquaporin-4 IgG antibodies are detected (i.e. who are AQP4 IgG seropositive).,<Neuromyelitis Optica Spectrum Disorder>,no,Enspryng is indicated as monotherapy or in combination with immunosuppressive therapy (IST) for the treatment of adult and adolescent patients with neuromyelitis optica spectrum disorders (NMOSD).,<Neuromyelitis Optica Spectrum Disorder>,Roche Pharma (Schweiz) AG,Roche,67617,satralizumabum,no,yes,solution,Not reported,NA
intramuscular,16.10.2020,2020,authorised (under additional monitoring),SWISSMEDIC,approved,19.12.2020,2020,Infectious and parasitic diseases,20210430_swisspar_comirnaty.pdf,Vaccine,Comirnaty,"Comirnaty is indicated for active immunisation to prevent COVID-19 caused by SARS-CoV-2 virus, in individuals 16 years of age and older.",<COVID-19>,no,"Active immunisation to prevent COVID-19 disease caused by SARS-CoV-2 virus, in individuals 16 years of age and older.",<COVID-19>,"Pfizer AG, Zurich",Pfizer,68225,tozinameranum,yes,no,concentrate,Not reported,NA
Intramuscular,12.11.2020,2020,authorised,SWISSMEDIC,approved,12.01.2021,2021,Infectious and parasitic diseases,20211203_swisspar-spikevax.pdf,Vaccine,Spikevax,COVID-19 Vaccine Moderna is indicated for active immunisation to prevent coronavirus disease 2019 (COVID-19) caused by the SARS-CoV-2 virus in individuals 18 years of age and older.,<Coronavirus Disease 2019>,no,COVID-19 Vaccine Moderna is indicated for active immunisation to prevent coronavirus disease 2019 (COVID-19) caused by the SARS-CoV-2 virus in individuals 18 years of age and older.,<Coronavirus Disease 2019>,Moderna Switzerland GmbH,Moderna,68267,CX-024414,yes,no,dispersion,Not reported,NA
intramuscular,01.07.2022,2022,authorised (under additional monitoring),SWISSMEDIC,conditional marketing authorisation,02.09.2022,2022,Infectious and parasitic diseases,assessment_report_swisspar_nuvaxovid_g102682544.pdf,Vaccine,Nuvaxovid,Nuvaxovid is indicated for active immunisation to prevent COVID-19 caused by SARS-CoV-2 in individuals 12 years of age and older.,<COVID-19>,yes,Nuvaxovid is indicated for active immunisation to prevent COVID-19 caused by SARS-CoV-2 in individuals 12 years of age and older.,<COVID-19>,Future Health Pharma GmbH,Future Health,68473,SARS CoV-2 recombinant spike protein (rS NVX-CoV2373),yes,no,dispersion,Not reported,NA
intravenous,31.01.2023,2023,authorised (under additional monitoring),SWISSMEDIC,approved,18.08.2023,2023,Neoplasms,swisspar_trodelvy_hr_her2-_brustkrebs.pdf,Biologics,Trodelvy,HR+/HER2- breast cancer,<Breast Neoplasms>,yes,"Trodelvy is indicated for the treatment of adult patients with unresectable locally advanced or metastatic hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative breast cancer who have received endocrine-based therapy and at least two additional systemic therapies in the metastatic setting.",<Breast Neoplasms>,Gilead Sciences Switzerland Sàrl,Gilead,68179,sacituzumab govitecan,no,no,powder; gel,Not reported,NA
oral,08.04.2019,2019,authorised,SWISSMEDIC,approved,13.08.2020,2020,Diseases of the genitourinary system,assessment_report_swisspar_mictonorm_final.pdf,Small molecule,Mictonorm,Symptomatic treatment of urinary incontinence and/or increased urinary frequency and urgency as may occur in patients with overactive bladder.,<Urinary Incontinence>; <Overactive Bladder>,no,Symptomatic treatment of aconuresis and/or higher frequency of micturition and imperative urge to urinate in patients with overactive bladder.,<Overactive Urinary Bladder>,Labatec Pharma SA,Labatec,67514,"propiverinum, propiverini hydrochloridum",yes,no,capsule,Not reported,NA
nasal,03.07.2020,2020,authorised (under additional monitoring),SWISSMEDIC,approved,27.08.2021,2021,Mental and behavioural disorders,assessment_report_swisspar_spravato_g102620850.pdf,Small molecule,Spravato,Spravato in combination with an oral antidepressant therapy is indicated as acute short-term treatment for the rapid reduction of depressive symptoms in adult patients with a severe episode of major depression (without psychotic symptoms) when the symptoms are classified as a psychiatric emergency according to clinical evaluation.,<Major Depressive Disorder>,yes,"Spravato is indicated, in conjunction with oral antidepressant therapy, for the rapid reduction of depressive symptoms in adult patients with severe Major Depressive Disorder for whom urgent symptom control is necessary.",<Major Depressive Disorder>,Janssen-Cilag AG,Janssen-Cilag,67103,esketamine as esketamine hydrochloride,yes,no,solution,Not reported,NA
intravenous,04.12.2019,2019,authorised,SWISSMEDIC,approved,01.07.2021,2021,Infectious and parasitic diseases,assessment_report_swisspar_vaborem_final.pdf,Small molecule,Vaborem,"Complicated urinary tract infection (cUTI), including pyelonephritis; Complicated intra-abdominal infection (cIAI); Hospital-acquired pneumonia (HAP), including ventilator-associated pneumonia (VAP); Treatment of patients with bacteraemia associated with these infections.","<Urinary Tract Infections>; <Pyelonephritis>; <Intraabdominal Infections>; <Pneumonia, Hospital-Acquired>; <Pneumonia, Ventilator-Associated>; <Bacteremia>",no,"Complicated urinary tract infection (cUTI), including pyelonephritis; Complicated intra-abdominal infection (cIAI); Hospital-acquired pneumonia (HAP), including ventilator-associated pneumonia (VAP); Treatment of patients with bacteraemia associated with these infections; Infections due to aerobic Gram-negative organisms in adults with limited treatment options.","<Urinary Tract Infections>; <Pyelonephritis>; <Intraabdominal Infections>; <Pneumonia, Hospital-Acquired>; <Pneumonia, Ventilator-Associated>; <Bacteremia>",A. Menarini AG,Menarini,67797,"meropenem trihydrate, vaborbactam",yes,no,powder,Not reported,European Medicines Agency (EMA)
oral,04.10.2021,2021,authorised,SWISSMEDIC,approved,06.04.2023,2023,"Endocrine, nutritional, and metabolic diseases; Diseases of the nervous system; Diseases of the circulatory system",swiss_public_assessment_report__milgamma.pdf,Small molecule,milgamma,"Treatment of disorders responding to administration of vitamin B1, such as: treatment and prophylaxis of vitamin B1 deficiency that cannot be corrected by dietary means; treatment of neurological disorders associated with vitamin B1 deficiency, such as alcoholic or diabetic polyneuropathy, which can manifest as sensory disturbances (e.g. pain, tingling, numbness) in the extremities; treatment of cardiovascular disease associated with vitamin B1 deficiency in people with diabetes mellitus.",<Polyneuropathies>; <Cardiovascular Diseases>; <Diabetes Mellitus>,no,"Treatment of conditions that are responsive to vitamin B1 administration, such as treatment and prophylaxis of vitamin B1 deficiency conditions, if they cannot be solved by dietary means. Treatment of neurological disorders associated with vitamin B1 deficiency, such as alcoholic or diabetic polyneuropathy, which can manifest in sensory impairments (e.g. pain, tingling, numbness) in the extremities. Treatment of cardiovascular disorders associated with vitamin B1 deficiency in diabetic patients.",<Polyneuropathies>,Maras AG,Maras,68695,benfotiamine,yes,no,tablet,Not reported,NA
oral,15.04.2019,2019,authorised,SWISSMEDIC,approved,05.03.2020,2020,Diseases of the circulatory system,swisspar_-vyndaqel_-final.pdf,Small molecule,Vyndaqel,treatment of transthyretin amyloidosis in adult patients with wild-type or hereditary cardiomyopathy to reduce all-cause mortality and cardiovascular-related hospitalisation,<Transthyretin Amyloidosis>,no,treatment of transthyretin amyloidosis in adult patients with wild-type or hereditary cardiomyopathy to reduce all-cause mortality and cardiovascular-related hospitalisation,<Transthyretin Amyloidosis>,Pfizer AG,Pfizer,67083,tafamidis,no,yes,capsule,EMEA/H/C/002294,NA
