Marketing_authorisation_number,Procedure_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Decision_year,Orphan_drug_status,Indication_extended,Indication_requested,Indication_approved,Disease_class(es),Application_date,Application_year,Nonclinical_abridged,Referral_body,Document_name,Agency,Indications_and_usage,Origin,Referral,Marketing_authorisation_holder_extracted,Disease_name(s),DRUG_CODE
ema/664123/2016,emea/h/c/004163/0000,cabometyx,cabozantinib,ipsen pharma,small molecule,tablet,oral,approved,authorised,21.07.2016,2016,yes,yes,treatment of advanced renal cell carcinoma (rcc) in patients who have received one prior therapy,treatment of advanced renal cell carcinoma (rcc) in adults following prior vascular endothelial growth factor (vegf)-targeted therapy,neoplasms; diseases of the genitourinary system,08.01.2016,2016,no,na,cabometyx-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/chmp/170631/2019,emea/h/c/004837/0000,xromi,hydroxycarbamide,nova laboratories ireland limited,small molecule,solution,oral,approved,authorised,26.04.2019,2019,no,no,"prevention of complications of sickle cell disease including recurrent painful vaso-occlusive crises, dactylitis, acute chest syndrome, anaemia and stroke, in adults, adolescents and children older than 2 years regardless of the severity of disease.",prevention of vaso-occlusive complications of sickle cell disease in patients over 2 years of age.,diseases of the blood and blood-forming organs,09.02.2018,2018,yes,,xromi-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/233437/2021,emea/h/c/005105/0000,efmody,hydrocortisone,diurnal europe bv,small molecule,capsule,oral,approved,authorised,25.03.2021,2021,yes,no,replacement therapy for congenital adrenal hyperplasia (cah) in adolescents aged 12 years and over and adults.,treatment of congenital adrenal hyperplasia (cah) in adolescents aged 12 years and over and adults.,"endocrine, nutritional, and metabolic diseases",12.12.2019,2019,yes,,efmody-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/365561/2023,emea/h/c/005781/0000,tyenne,tocilizumab,fresenius kabi deutschland gmbh,biologics,concentrate; solution,intravenous; subcutaneous,approved,authorised,20.07.2023,2023,no,no,"treatment of rheumatoid arthritis, covid-19, systemic juvenile idiopathic arthritis, juvenile idiopathic polyarthritis, cytokine release syndrome, and giant cell arteritis","treatment of rheumatoid arthritis, covid-19, systemic juvenile idiopathic arthritis, juvenile idiopathic polyarthritis, cytokine release syndrome, and giant cell arteritis",diseases of the musculoskeletal system and connective tissue; infectious and parasitic diseases; diseases of the blood and blood-forming organs,22.07.2022,2022,yes,,tyenne-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/266309/2022,emea/h/c/005818/0000,uplizna,inebilizumab,viela bio,biologics,concentrate,intravenous,approved,authorised,11.11.2021,2021,yes,no,treatment of adults with neuromyelitis optica spectrum disorders (nmosd) to reduce the risk of attacks and associated worsening of disability,treatment of adult patients with neuromyelitis optica spectrum disorders (nmosd) who are anti-aquaporin-4 immunoglobulin g (aqp4-igg) seropositive,diseases of the nervous system,23.11.2020,2020,no,na,uplizna-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/chmp/481610/2016,emea/h/c/003912/0000,cinqaero,reslizumab,teva pharmaceuticals limited,biologics,solution,intravenous,approved,authorised,23.06.2016,2016,no,no,"cinqaero is indicated to reduce exacerbations, relieve symptoms and improve lung function in adult patients with asthma and elevated blood eosinophils who are inadequately controlled on inhaled corticosteroids","cinqaero is indicated to reduce exacerbations, relieve symptoms and improve lung function in adult patients with asthma and elevated blood eosinophils who are inadequately controlled on inhaled corticosteroids",diseases of the respiratory system,30.06.2015,2015,no,na,cinqaero-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/44005/2018,emea/h/c/002575/0000,herzuma,trastuzumab,celltrion healthcare hungary kft.,biologics,powder,intravenous,approved,authorised,14.12.2017,2017,no,no,"metastatic breast cancer, early breast cancer, metastatic gastric cancer","metastatic breast cancer, early breast cancer, metastatic gastric cancer",neoplasms; diseases of the digestive system,10.10.2016,2016,no,na,herzuma-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/652456/2017,emea/h/c/004748/0000,imatinib teva b.v.,imatinib,teva b.v.,small molecule,tablet; capsule,oral,approved,withdrawn,14.09.2017,2017,no,no,"treatment of various cancers including cml, all, gist, dfsp, mds/mpd, hes/cel","treatment of various cancers including cml, all, gist, dfsp, mds/mpd, hes/cel",neoplasms; diseases of the blood and blood-forming organs,05.04.2017,2017,yes,,imatinib-teva-bv-epar-public-assessment-report_en.pdf,EMA,,,,,,
,,viramune,nevirapine,,small molecule,tablet,oral,approved,authorised,22.10.1997,1997,no,no,antiviral treatment of hiv-1 infected patients with advanced or progressive immunodeficiency,antiviral treatment of hiv-1 infected patients with advanced or progressive immunodeficiency,infectious and parasitic diseases,,,no,na,viramune-epar-scientific-discussion_en.pdf,EMA,,,,,,
ema/293975/2013,emea/h/c/002658,maruxa,memantine,krka d.d. novo mesto,small molecule,tablet,oral,approved,authorised,17.01.2013,2013,no,no,treatment of patients with moderate to severe alzheimer’s disease,treatment of patients with moderate to severe alzheimer’s disease,diseases of the nervous system,30.05.2012,2012,yes,,maruxa-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/chmp/525255/2012,emea/h/c/002345/,revestive,teduglutide,nycomed danmark aps,peptides and proteins,powder; solvent,subcutaneous,approved,authorised,21.06.2012,2012,yes,no,treatment of short bowel syndrome,treatment of adult patients with short bowel syndrome,diseases of the digestive system,03.03.2011,2011,no,na,revestive-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/485798/2009,emea/h/c/000920,vedrop,tocofersolan,orphan europe s.a.r.l.,other,solution,oral,approved,authorised,29.05.2009,2009,yes,no,"vitamin e deficiency due to digestive malabsorption in paediatric patients suffering from cystic fibrosis, congenital chronic cholestasis or hereditary chronic cholestasis.",vitamin e deficiency due to digestive malabsorption in paediatric patients suffering from congenital chronic cholestasis or hereditary chronic cholestasis.,"endocrine, nutritional, and metabolic diseases",07.09.2007,2007,no,na,vedrop-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/587444/2018,emea/h/c/004826/0000,gefitinib mylan,gefitinib,mylan s.a.s.,small molecule,tablet,oral,approved,withdrawn,26.07.2018,2018,no,no,gefitinib mylan is indicated as monotherapy for the treatment of adult patients with locally advanced or metastatic non-small cell lung cancer (nsclc) with activating mutations of egfr-tk.,gefitinib mylan is indicated as monotherapy for the treatment of adult patients with locally advanced or metastatic non-small cell lung cancer (nsclc) with activating mutations of egfr-tk.,neoplasms; diseases of the respiratory system,24.07.2017,2017,yes,na,gefitinib-mylan-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/79461/2011,emea/h/c/001222,repso,leflunomide,teva pharma b.v.,small molecule,tablet,oral,approved,withdrawn,16.12.2010,2010,no,no,active rheumatoid arthritis; active psoriatic arthritis,active rheumatoid arthritis; active psoriatic arthritis,diseases of the musculoskeletal system and connective tissue,03.09.2009,2009,yes,,repso-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/570757/2022,emea/h/c/005653/0000,kinpeygo,budesonide,calliditas therapeutics ab,small molecule,capsule,oral,approved,authorised,19.05.2022,2022,yes,no,treatment of primary immunoglobulin a (iga) nephropathy (igan) in adults,treatment of primary igan in adults at risk of rapid disease progression with a urine protein-to-creatinine ratio (upcr) ≥1.5 g/g,diseases of the genitourinary system,28.05.2021,2021,yes,,kinpeygo-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/652627/2016,emea/h/c/003853/0000,ibrance,palbociclib,pfizer limited,small molecule,capsule,oral,approved,authorised,15.09.2016,2016,no,no,"ibrance in combination with endocrine therapy is indicated for the treatment of hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative advanced/metastatic breast cancer: - with letrozole as initial endocrine-based therapy in postmenopausal women - with fulvestrant in women who have received prior therapy","ibrance is indicated for the treatment of hormone receptor (hr) positive, human epidermal growth factor receptor 2 (her2)-negative locally advanced or metastatic breast cancer: - in combination with an aromatase inhibitor; - in combination with fulvestrant in women who have received prior endocrine therapy. in pre- or perimenopausal women, the endocrine therapy should be combined with a luteinizing hormone-releasing hormone (lhrh) agonist.",neoplasms,30.07.2015,2015,no,na,ibrance-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/734748/2016,emea/h/c/004140/0000,somakit toc,edotreotide,advanced accelerator applications,peptides and proteins,powder,intravenous,approved,authorised,13.10.2016,2016,yes,no,"this medicinal product is for diagnostic use only. after reconstitution and radiolabelling with 68-gallium (68ga) chloride solution, the solution obtained is indicated in adults for the diagnosis and management of somatostatin receptor bearing gastroenteropancreatic neuroendocrine tumours (gep-net), including their localisation, characterisation, staging and restaging through positron emission tomography (pet).","this medicinal product is for diagnostic use only. after radiolabelling with gallium (68ga) chloride solution, the solution of gallium (68ga) edotreotide obtained is indicated for positron emission tomography (pet) imaging of somatostatin receptor overexpression in adult patients with confirmed or suspected well-differentiated gastro-enteropancreatic neuroendocrine tumours (gep-net) for localizing primary tumours and their metastases.",neoplasms; diseases of the digestive system,08.10.2015,2015,yes,,somakit-toc-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/654949/2019,emea/h/c/005012/0000,tavlesse,fostamatinib,rigel pharmaceuticals b.v.,small molecule,tablet,oral,approved,authorised,14.11.2019,2019,no,no,treatment of thrombocytopenia in adult patients with chronic or persistent immune thrombocytopenia (itp) who have had an insufficient response to a previous treatment.,treatment of chronic immune thrombocytopenia (itp) in adult patients who are refractory to other treatments.,diseases of the blood and blood-forming organs,17.09.2018,2018,no,na,tavlesse-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/chmp/377887/2016,emea/h/c/004027/0000,zavicefta,ceftazidime / avibactam,astrazeneca ab,small molecule,powder,intravenous,approved,authorised,28.04.2016,2016,no,no,"complicated intra-abdominal infection (ciai); complicated urinary tract infection (cuti), including pyelonephritis; nosocomial pneumonia, including ventilator associated pneumonia (vap); infections due to aerobic gram-negative organisms in patients with limited treatment options.","complicated intra-abdominal infection (ciai); complicated urinary tract infection (cuti), including pyelonephritis; nosocomial pneumonia, including ventilator associated pneumonia (vap); infections due to aerobic gram-negative organisms in patients with limited treatment options.",infectious and parasitic diseases,24.03.2015,2015,no,na,zavicefta-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/241210/2012,emea/h/c/002622,riluzole zentiva,riluzole,aventis pharma s.a.,small molecule,tablet,oral,approved,authorised,16.02.2012,2012,no,yes,extend life or the time to mechanical ventilation for patients with amyotrophic lateral sclerosis (als),extend life or the time to mechanical ventilation for patients with amyotrophic lateral sclerosis (als),diseases of the nervous system,28.11.2011,2011,yes,na,riluzole-zentiva-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/228402/2023,emea/h/c/006083/0000,sugammadex piramal,sugammadex,piramal critical care b.v.,other,solution,intravenous,approved,authorised,26.04.2023,2023,no,no,reversal of neuromuscular blockade induced by rocuronium or vecuronium in adults. for the paediatric population: sugammadex is only recommended for routine reversal of rocuronium induced blockade in children and adolescents aged 2 to 17 years.,reversal of neuromuscular blockade induced by rocuronium or vecuronium in adults. for the paediatric population: sugammadex is only recommended for routine reversal of rocuronium induced blockade in children and adolescents aged 2 to 17 years.,other,27.07.2022,2022,yes,na,sugammadex-piramal-epar-public-assessment-report_en.pdf,EMA,,,,,,
,emea/h/c/1086,olanzapine glenmark europe,olanzapine,glenmark generics (europe) ltd.,small molecule,tablet,oral,approved,authorised,24.09.2009,2009,no,no,treatment of schizophrenia; treatment of moderate to severe manic episode; prevention of recurrence in patients with bipolar disorder,treatment of schizophrenia; treatment of moderate to severe manic episode; prevention of recurrence in patients with bipolar disorder,mental and behavioural disorders,28.10.2008,2008,yes,,olanzapine-glenmark-europe-epar-public-assessment-report_en.pdf,EMA,,,,,,
